SalesOrderNumber,OrderDate,ProductKey,ResellerKey,EmployeeKey,SalesTerritoryKey,Quantity,Unit Price,Sales,Cost,Year,Quarter,Month,MonthName,DayOfWeek,WeekOfYear,Profit,ProfitMargin,RevenuePerUnit,Product,Category,Subcategory,Color,Standard Cost,Region,Country,Group,Business Type,Reseller,City,State-Province,Country-Region,Salesperson,Title
SO43897,2017-08-25,235,312,282,4,2,28.84,57.68,63.45,2017,3,8,August,Friday,34,-5.770000000000003,-10.003467406380032,28.84,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,31.72,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO43897,2017-08-25,351,312,282,4,2,2024.99,4049.98,3796.19,2017,3,8,August,Friday,34,253.78999999999996,6.266450698521966,2024.99,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO43897,2017-08-25,348,312,282,4,2,2024.99,4049.98,3796.19,2017,3,8,August,Friday,34,253.78999999999996,6.266450698521966,2024.99,"Mountain-100 Black, 38",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO43897,2017-08-25,232,312,282,4,2,28.84,57.68,63.45,2017,3,8,August,Friday,34,-5.770000000000003,-10.003467406380032,28.84,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,31.72,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO44544,2017-11-18,292,312,282,4,2,818.7,1637.4,1413.62,2017,4,11,November,Saturday,46,223.7800000000002,13.666788811530486,818.7,"HL Mountain Frame - Silver, 48",Components,Mountain Frames,Silver,706.81,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO44544,2017-11-18,220,312,282,4,2,20.19,40.38,24.06,2017,4,11,November,Saturday,46,16.320000000000004,40.41604754829124,20.19,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,12.03,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO44544,2017-11-18,351,312,282,4,2,2024.99,4049.98,3796.19,2017,4,11,November,Saturday,46,253.78999999999996,6.266450698521966,2024.99,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO44544,2017-11-18,349,312,282,4,2,2024.99,4049.98,3796.19,2017,4,11,November,Saturday,46,253.78999999999996,6.266450698521966,2024.99,"Mountain-100 Black, 42",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO44544,2017-11-18,344,312,282,4,2,2039.99,4079.98,3824.31,2017,4,11,November,Saturday,46,255.67000000000007,6.266452286530819,2039.99,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO45321,2018-02-18,346,312,282,4,2,2039.99,4079.98,3824.31,2018,1,2,February,Sunday,7,255.67000000000007,6.266452286530819,2039.99,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO45321,2018-02-18,347,312,282,4,2,2039.99,4079.98,3824.31,2018,1,2,February,Sunday,7,255.67000000000007,6.266452286530819,2039.99,"Mountain-100 Silver, 48",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO46082,2018-05-23,220,312,282,4,2,20.19,40.38,24.06,2018,2,5,May,Wednesday,21,16.320000000000004,40.41604754829124,20.19,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,12.03,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO46082,2018-05-23,346,312,282,4,2,2039.99,4079.98,3824.31,2018,2,5,May,Wednesday,21,255.67000000000007,6.266452286530819,2039.99,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
