yearmonth,revenue
2017-07,489328.40
2017-08,1540072.02
2017-09,1166332.45
2017-10,844832.71
2017-11,2325754.91
2017-12,1703435.09
2018-01,713229.54
2018-02,1900794.46
2018-03,1455280.27
2018-04,883010.98
2018-05,2269719.87
2018-06,1137251.90
2018-07,2411558.85
2018-08,3615914.46
2018-09,2894646.61
2018-10,1804176.93
2018-11,3054996.72
2018-12,2188205.66
2019-01,1318592.01
2019-02,2386073.19
2019-03,1564294.92
2019-04,1868433.35
2019-05,2882637.58
2019-06,1990249.25
2019-07,2729167.03
2019-08,4306549.14
2019-09,4153399.35
2019-10,2293200.43
2019-11,3490438.03
2019-12,3516971.30
2020-01,1664187.50
2020-02,2701954.05
2020-03,2741182.95
2020-04,2214090.83
2020-05,3328607.46
