OrderDate,Total_Sales,Total_Profit,Total_Cost,Total_Quantity,Total_Orders
2017-07-01,489328.4,17033.1,472295.3,820,38
2017-08-01,1540072.02,70612.2,1469459.82,2053,75
2017-09-01,1166332.45,57849.09,1108483.36,1512,60
2017-10-01,844832.71,27702.79,817129.92,1242,40
2017-11-01,2325754.91,89691.23,2236063.68,2963,90
2017-12-01,1703435.09,70357.2,1633077.89,2245,63
2018-01-01,713229.54,22799.89,690429.65,852,40
2018-02-01,1900794.46,70313.56,1830480.9,2132,79
2018-03-01,1455280.27,58512.97,1396767.3,1642,64
2018-04-01,883010.98,28364.85,854646.13,1260,37
2018-05-01,2269719.87,87881.91,2181837.96,2965,85
2018-06-01,1137251.9,-469756.42,1607008.32,2204,68
2018-07-01,2411558.85,73557.49,2338001.36,7502,72
2018-08-01,3615914.46,147087.86,3468826.6,11044,139
2018-09-01,2894646.61,158759.87,2735886.74,8868,111
2018-10-01,1804176.93,79659.01,1724517.92,5355,73
2018-11-01,3054996.72,135875.74,2919120.98,8075,133
2018-12-01,2188205.66,114696.7,2073508.96,6342,114
2019-01-01,1318592.01,51206.49,1267385.52,3288,65
2019-02-01,2386073.19,77988.86,2308084.33,5159,132
2019-03-01,1564294.92,66744.8,1497550.12,3860,106
2019-04-01,1868433.35,86095.95,1782337.4,5400,74
2019-05-01,2882637.58,117090.75,2765546.83,7943,134
2019-06-01,1990249.25,102784.47,1887464.78,6123,102
2019-07-01,2729167.03,-118341.29,2847508.32,9871,94
2019-08-01,4306549.14,-157244.56,4463793.7,15139,185
2019-09-01,4153399.35,-172100.02,4325499.37,14774,176
2019-10-01,2293200.43,7853.14,2285347.29,7457,99
2019-11-01,3490438.03,29682.42,3460755.61,10584,178
2019-12-01,3516971.3,37011.23,3479960.07,10574,176
2020-01-01,1664187.5,6225.06,1657962.44,4637,94
2020-02-01,2701954.05,14284.23,2687669.82,6370,174
2020-03-01,2741182.95,9172.93,2732010.02,6594,174
2020-04-01,2214090.83,12331.19,2201759.64,7136,93
2020-05-01,3328607.46,-12290.12,3340897.58,10129,179
