productkey,product,category,subcategory,color,standardcost,totalorders,totalquantity,totalrevenue,totalcost,totalprofit,profitmarginpct
212,"Sport-100 Helmet, Red",Accessories,Helmets,Red,12.03,200,564,11387.16,6784.92,4602.24,40.42
213,"Sport-100 Helmet, Red",Accessories,Helmets,Red,13.88,317,1493,29411.29,20722.84,8688.45,29.54
214,"Sport-100 Helmet, Red",Accessories,Helmets,Red,13.09,306,1808,36475.84,23666.72,12809.12,35.12
215,"Sport-100 Helmet, Black",Accessories,Helmets,Black,12.03,201,600,12105.16,7218.00,4887.16,40.37
216,"Sport-100 Helmet, Black",Accessories,Helmets,Black,13.88,340,1635,32259.43,22693.80,9565.63,29.65
217,"Sport-100 Helmet, Black",Accessories,Helmets,Black,13.09,348,2003,40440.11,26219.27,14220.84,35.17
218,"Mountain Bike Socks, M",Clothing,Socks,White,3.40,188,1107,6148.50,3763.80,2384.70,38.79
219,"Mountain Bike Socks, L",Clothing,Socks,White,3.40,44,90,513.00,306.00,207.00,40.35
220,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,12.03,215,661,13338.11,7951.83,5386.28,40.38
221,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13.88,372,1739,34246.14,24137.32,10108.82,29.52
222,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13.09,341,2012,40546.52,26337.08,14209.44,35.04
223,AWC Logo Cap,Clothing,Caps,Multi,5.71,290,985,5093.95,5624.35,-530.40,-10.41
224,AWC Logo Cap,Clothing,Caps,Multi,5.23,442,2304,11792.35,12049.92,-257.57,-2.18
225,AWC Logo Cap,Clothing,Caps,Multi,6.92,417,2614,13772.12,18088.88,-4316.76,-31.34
229,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,31.72,178,437,12603.08,13861.64,-1258.56,-9.99
230,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,29.08,287,1238,35575.28,36001.04,-425.76,-1.20
231,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,38.49,284,1409,41940.91,54232.41,-12291.50,-29.31
232,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,31.72,296,991,28464.28,31434.52,-2970.24,-10.43
233,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,29.08,436,2346,66697.36,68221.68,-1524.32,-2.29
234,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,38.49,410,2562,75416.38,98611.38,-23195.00,-30.76
235,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,31.72,192,474,13670.16,15035.28,-1365.12,-9.99
236,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,29.08,268,1101,31663.56,32017.08,-353.52,-1.12
237,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,38.49,191,938,28085.62,36103.62,-8018.00,-28.55
238,"HL Road Frame - Red, 62",Components,Road Frames,Red,747.97,18,30,22742.40,22439.10,303.30,1.33
239,"HL Road Frame - Red, 62",Components,Road Frames,Red,722.26,102,247,192862.54,178398.22,14464.32,7.50
240,"HL Road Frame - Red, 62",Components,Road Frames,Red,868.63,90,191,164049.90,165908.33,-1858.43,-1.13
241,"HL Road Frame - Red, 44",Components,Road Frames,Red,747.97,17,27,20468.16,20195.19,272.97,1.33
242,"HL Road Frame - Red, 44",Components,Road Frames,Red,722.26,106,250,195205.00,180565.00,14640.00,7.50
243,"HL Road Frame - Red, 44",Components,Road Frames,Red,868.63,86,192,164908.80,166776.96,-1868.16,-1.13
245,"HL Road Frame - Red, 48",Components,Road Frames,Red,722.26,21,48,37479.36,34668.48,2810.88,7.50
246,"HL Road Frame - Red, 48",Components,Road Frames,Red,868.63,23,61,52392.90,52986.43,-593.53,-1.13
253,"LL Road Frame - Black, 58",Components,Road Frames,Black,176.20,99,191,34108.78,33654.20,454.58,1.33
254,"LL Road Frame - Black, 58",Components,Road Frames,Black,170.14,170,436,80197.84,74181.04,6016.80,7.50
255,"LL Road Frame - Black, 58",Components,Road Frames,Black,204.63,116,290,58675.70,59342.70,-667.00,-1.14
256,"LL Road Frame - Black, 60",Components,Road Frames,Black,176.20,1,1,178.58,176.20,2.38,1.33
257,"LL Road Frame - Black, 60",Components,Road Frames,Black,170.14,25,67,12323.98,11399.38,924.60,7.50
258,"LL Road Frame - Black, 60",Components,Road Frames,Black,204.63,26,61,12342.13,12482.43,-140.30,-1.14
262,"LL Road Frame - Red, 44",Components,Road Frames,Red,181.49,158,303,55733.82,54991.47,742.35,1.33
263,"LL Road Frame - Red, 44",Components,Road Frames,Red,187.16,216,688,139048.02,128766.08,10281.94,7.39
264,"LL Road Frame - Red, 48",Components,Road Frames,Red,181.49,110,203,37339.82,36842.47,497.35,1.33
265,"LL Road Frame - Red, 48",Components,Road Frames,Red,187.16,176,466,94285.78,87216.56,7069.22,7.50
266,"LL Road Frame - Red, 52",Components,Road Frames,Red,181.49,6,7,1287.58,1270.43,17.15,1.33
267,"LL Road Frame - Red, 52",Components,Road Frames,Red,187.16,42,93,18816.69,17405.88,1410.81,7.50
270,"LL Road Frame - Red, 60",Components,Road Frames,Red,181.49,157,309,56837.46,56080.41,757.05,1.33
271,"LL Road Frame - Red, 60",Components,Road Frames,Red,187.16,217,685,138596.05,128204.60,10391.45,7.50
272,"LL Road Frame - Red, 62",Components,Road Frames,Red,181.49,105,206,37891.64,37386.94,504.70,1.33
273,"LL Road Frame - Red, 62",Components,Road Frames,Red,187.16,181,489,98865.23,91521.24,7343.99,7.43
275,"ML Road Frame - Red, 48",Components,Road Frames,Red,352.14,130,250,89225.00,88035.00,1190.00,1.33
276,"ML Road Frame - Red, 52",Components,Road Frames,Red,352.14,44,90,32121.00,31692.60,428.40,1.33
279,"LL Road Frame - Black, 44",Components,Road Frames,Black,176.20,16,26,4643.08,4581.20,61.88,1.33
280,"LL Road Frame - Black, 44",Components,Road Frames,Black,170.14,57,129,23728.26,21948.06,1780.20,7.50
281,"LL Road Frame - Black, 44",Components,Road Frames,Black,204.63,36,82,16591.06,16779.66,-188.60,-1.14
285,"LL Road Frame - Black, 52",Components,Road Frames,Black,176.20,156,303,54109.74,53388.60,721.14,1.33
286,"LL Road Frame - Black, 52",Components,Road Frames,Black,170.14,228,687,126299.35,116886.18,9413.17,7.45
287,"LL Road Frame - Black, 52",Components,Road Frames,Black,204.63,199,545,110047.43,111523.35,-1475.92,-1.34
288,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,623.84,15,24,17342.16,14972.16,2370.00,13.67
289,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,660.91,77,160,119083.20,105745.60,13337.60,11.20
290,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,747.20,69,149,121986.30,111332.80,10653.50,8.73
292,"HL Mountain Frame - Silver, 48",Components,Mountain Frames,Silver,706.81,94,173,141635.10,122278.13,19356.97,13.67
293,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,623.84,71,127,91768.93,79227.68,12541.25,13.67
294,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,660.91,110,263,195743.01,173819.33,21923.68,11.20
295,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,747.20,95,224,183388.80,167372.80,16016.00,8.73
296,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,617.03,98,177,126501.90,109214.31,17287.59,13.67
