ProductKey,Product,Category,Subcategory,Color,Total_Sales,Total_Profit,Total_Cost,Total_Quantity,Total_Orders,Profit_Margin_%
212,"Sport-100 Helmet, Red",Accessories,Helmets,Red,11387.16,4603.27,6783.89,564,200,40.43
213,"Sport-100 Helmet, Red",Accessories,Helmets,Red,29411.29,8691.28,20720.01,1493,317,29.55
214,"Sport-100 Helmet, Red",Accessories,Helmets,Red,36475.84,12815.57,23660.27,1808,306,35.13
215,"Sport-100 Helmet, Black",Accessories,Helmets,Black,12105.16,4888.31,7216.85,600,201,40.38
216,"Sport-100 Helmet, Black",Accessories,Helmets,Black,32259.43,9568.68,22690.75,1635,340,29.66
217,"Sport-100 Helmet, Black",Accessories,Helmets,Black,40440.11,14227.99,26212.12,2003,348,35.18
218,"Mountain Bike Socks, M",Clothing,Socks,White,6148.5,2388.68,3759.82,1107,188,38.85
219,"Mountain Bike Socks, L",Clothing,Socks,White,513.0,207.27,305.73,90,44,40.4
220,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13338.11,5387.49,7950.62,661,215,40.39
221,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,34246.14,10111.98,24134.16,1739,372,29.53
222,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,40546.52,14216.67,26329.85,2012,341,35.06
223,AWC Logo Cap,Clothing,Caps,Multi,5093.95,-526.19,5620.14,985,290,-10.33
224,AWC Logo Cap,Clothing,Caps,Multi,11792.35,-257.53,12049.88,2304,442,-2.18
225,AWC Logo Cap,Clothing,Caps,Multi,13772.12,-4322.64,18094.76,2614,417,-31.39
229,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,12603.08,-1260.18,13863.26,437,178,-10.0
230,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,35575.28,-426.11,36001.39,1238,287,-1.2
231,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,41940.91,-12294.55,54235.46,1409,284,-29.31
232,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,28464.28,-2974.43,31438.71,991,296,-10.45
233,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,66697.36,-1525.32,68222.68,2346,436,-2.29
234,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,75416.38,-23200.66,98617.04,2562,410,-30.76
235,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,13670.16,-1366.92,15037.08,474,192,-10.0
236,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,31663.56,-353.76,32017.32,1101,268,-1.12
237,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,28085.62,-8020.09,36105.71,938,191,-28.56
238,"HL Road Frame - Red, 62",Components,Road Frames,Red,22742.4,303.32,22439.08,30,18,1.33
