salesordernumber,orderdate,year,quarter,month,product,category,subcategory,color,standardcost,region,country,reseller,businesstype,salesperson,quantity,unitprice,sales,totalcost,profit
SO49831,2019-04-04,2019,2,4,Cable Lock,Accessories,Locks,NA,10.31,Southwest,United States,Real Sporting Goods,Warehouse,Linda Mitchell,2,15.00,30.00,20.62,9.38
SO49464,2019-03-06,2019,1,3,Cable Lock,Accessories,Locks,NA,10.31,Northwest,United States,Safe Cycles Shop,Warehouse,Pamela Ansman-Wolfe,2,15.00,30.00,20.62,9.38
SO53623,2019-09-30,2019,3,9,Hitch Rack - 4-Bike,Accessories,Bike Racks,NA,44.88,Northwest,United States,Certified Bicycle Supply,Specialty Bike Shop,Tete Mensa-Annan,2,72.00,144.00,89.76,54.24
SO58916,2019-12-02,2019,4,12,"Racing Socks, M",Clothing,Socks,White,3.36,Northwest,United States,Convenient Sales and Service,Warehouse,Tete Mensa-Annan,2,5.39,10.78,6.72,4.06
SO53454,2019-09-02,2019,3,9,Bike Wash - Dissolver,Accessories,Cleaners,NA,2.97,Central,United States,Initial Bike Company,Value Added Reseller,Shu Ito,2,4.77,9.54,5.94,3.60
SO53475,2019-09-05,2019,3,9,"Racing Socks, M",Clothing,Socks,White,3.36,France,France,Getaway Inn,Warehouse,Ranjit Varkey Chudukatil,2,5.39,10.78,6.72,4.06
SO51731,2019-08-07,2019,3,8,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,360.94,Central,United States,Orange Bicycle Company,Specialty Bike Shop,Michael Blythe,2,356.90,713.80,721.88,-8.08
SO44105,2017-09-20,2017,3,9,"Mountain Bike Socks, L",Clothing,Socks,White,3.40,Central,United States,Unique Bikes,Specialty Bike Shop,Jillian Carson,2,5.70,11.40,6.80,4.60
SO49157,2019-02-27,2019,1,2,"Mountain-300 Black, 40",Bikes,Mountain Bikes,Black,598.44,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Jillian Carson,2,647.99,1295.98,1196.88,99.10
SO57060,2019-11-08,2019,4,11,"Racing Socks, M",Clothing,Socks,White,3.36,Northeast,United States,Riverside Company,Specialty Bike Shop,Jillian Carson,2,5.39,10.78,6.72,4.06
SO48073,2018-11-26,2018,4,11,"Road-250 Red, 52",Bikes,Road Bikes,Red,1518.79,Northeast,United States,Super Sports Store,Warehouse,Michael Blythe,1,1466.01,1466.01,1518.79,-52.78
SO53526,2019-09-14,2019,3,9,Patch Kit/8 Patches,Accessories,Tires and Tubes,NA,0.86,Central,United States,Riders Company,Value Added Reseller,Michael Blythe,1,1.37,1.37,0.86,0.51
SO59055,2019-12-27,2019,4,12,Hitch Rack - 4-Bike,Accessories,Bike Racks,NA,44.88,United Kingdom,United Kingdom,Channel Outlet,Specialty Bike Shop,José Saraiva,1,72.00,72.00,44.88,27.12
SO50665,2019-06-03,2019,2,6,HL Road Handlebars,Components,Handlebars,NA,48.55,France,France,Self-Contained Cycle Parts Company,Value Added Reseller,Ranjit Varkey Chudukatil,1,65.60,65.60,48.55,17.05
